IM,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_0.151991108295,-0.07200792792000085,0.03866501446584774,0.4182045894151065,0.4395959882655754,0.49825260645283875,0.7851085092801461
pSA_0.162975083462,-0.08059203271573916,0.0381493073031307,0.4173904540691352,0.43002444904503356,0.5023178480714899,0.7819584633570353
pSA_0.174752840001,-0.08341824022889627,0.037640147241167037,0.4173819294722175,0.420222919768858,0.505855691922568,0.7788998384898248
pSA_0.187381742286,-0.0877193037109264,0.036791739276465216,0.41291431810754087,0.4061959564287714,0.5092576265003161,0.7712565845852049
pSA_0.2,-0.09161821331223392,0.03620652030723369,0.4097195942614004,0.39675155258656947,0.5101332802189864,0.7651914165674906
pSA_0.200923300257,-0.0923619621365911,0.036176491650747766,0.4095895568415299,0.39625201474216754,0.5101649165562592,0.7648839822781771
pSA_0.215443469003,-0.10412853435948384,0.03586656860760302,0.4102557140818151,0.39001966529636556,0.5111916789295111,0.7627201471453612
pSA_0.231012970008,-0.11241789622121023,0.035567625484405126,0.41344496442563755,0.3827666922735295,0.5119651920101947,0.7612853848281675
pSA_0.247707635599,-0.11762885165491431,0.03525389760928528,0.41630636438694524,0.3751469901197048,0.5137845878700726,0.7602768285024675
pSA_0.265608778295,-0.12931388217884798,0.034948290122652104,0.4197019989921222,0.36749917380656805,0.5145357177935345,0.7589152888114729
pSA_0.284803586844,-0.13578470649184537,0.034839477974271005,0.42609355258262666,0.362470902251987,0.5123262902237997,0.7585638392293257
pSA_0.3,-0.14456692074863728,0.034916762087752594,0.42963702328056624,0.36238612818384525,0.5106006995179933,0.7593581184274836
pSA_0.305385550883,-0.14784785555261992,0.03486220479529645,0.4296096020156988,0.36139473184245635,0.510314815988948,0.7586776481256067
pSA_0.327454916288,-0.16479601787700912,0.034654115206468356,0.42725743342613703,0.3589077575297193,0.5085735370964385,0.7549905532307568
pSA_0.351119173422,-0.1734794031867792,0.03425995496837158,0.42333036611141517,0.35418670027412663,0.5036544394229654,0.7472112230645096
pSA_0.376493580679,-0.1881569609338042,0.03375549242729271,0.41882613569577315,0.34703673292836157,0.5022754169207866,0.740358305407858
