stat_id,0.010000000000,0.010722672220,0.011497569954,0.012328467394,0.013219411485,0.014174741629,0.015199110830,0.016297508346,0.017475284000,0.018738174229,0.02,0.020092330026,0.021544346900,0.023101297001,0.024770763560,0.026560877829,0.028480358684,0.030538555088,0.032745491629,0.035111917342,0.037649358068,0.040370172586,0.043287612811,0.046415888336,0.049770235643,0.05,0.053366992312,0.057223676594,0.061359072734,0.065793322466,0.070548023107,0.075646332755,0.081113083079,0.086974900262,0.093260334688,0.1,0.107226722201,0.114975699540,0.123284673944,0.132194114847,0.141747416293,0.151991108295,0.162975083462,0.174752840001,0.187381742286,0.2,0.200923300257,0.215443469003,0.231012970008,0.247707635599,0.265608778295,0.284803586844,0.3,0.305385550883,0.327454916288,0.351119173422,0.376493580679,0.4,0.403701725860,0.432876128108,0.464158883361,0.497702356433,0.5,0.533669923121,0.572236765935,0.613590727341,0.657933224658,0.705480231072,0.75,0.756463327555,0.811130830790,0.869749002618,0.932603346883,1.0,1.072267222010,1.149756995398,1.232846739442,1.321941148466,1.417474162927,1.519911082953,1.629750834621,1.747528400008,1.873817422860,2.0,2.009233002565,2.154434690032,2.310129700083,2.477076355992,2.656087782947,2.848035868436,3.0,3.053855508833,3.274549162878,3.511191734215,3.764935806792,4.0,4.037017258597,4.328761281083,4.641588833613,4.977023564332,5.0,5.336699231206,5.722367659350,6.135907273413,6.579332246576,7.054802310719,7.5,7.564633275546,8.111308307897,8.697490026178,9.326033468832,10.0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008930462,-0.018506303,-0.028774164,-0.039784055,-0.0515896,-0.064248298,-0.077821806,-0.092376234,-0.107982469,-0.123575551,-0.124716524,-0.142659903,-0.142659903,-0.149945778,-0.157997973,-0.164778303,-0.171245286,-0.175503445,-0.180476555,-0.183853986,-0.187729329,-0.191726962,-0.194175258,-0.195670385,-0.195991807,-0.19515859,-0.195889845,-0.195606918,-0.195742817,-0.196323459,-0.197374403,-0.197103923,-0.196451697,-0.196545356,-0.195300942,-0.194619227,-0.192455828,-0.191529376,-0.189239543,-0.186698422,-0.183718487,-0.181052326,-0.178992006,-0.17594724,-0.173567742,-0.170931808,-0.16886672,-0.166329904,-0.164338607,-0.162984419,-0.161132693,-0.159094651,-0.156194007,-0.153605514,-0.150690743,-0.147305421,-0.143842197,-0.140972981,-0.138340988,-0.135264853,-0.132910242,-0.130162543,-0.128590961,-0.126967179,-0.125606683,-0.124144837,-0.122788348,-0.121178662,-0.120262035,-0.120363996,-0.120703651,-0.122415264,-0.122415264,-0.122415264,-0.122415264,-0.122415264
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413742,0.021092088,0.039272022,0.05876577,0.076824447,0.079668277,0.102081351,0.126114154,0.126114154,0.131381583,0.135877515,0.14034709,0.14391482,0.146982428,0.147849928,0.146457862,0.14281774,0.135076887,0.125532846,0.115225573,0.091518855,0.078291228,0.064107678,0.048899121,0.032591484,0.01510534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006715424,0.034234458,0.063742215,0.095382416,0.12469336,0.129309166,0.165687709,0.204695228,0.204695228,0.213244764,0.220542088,0.227796631,0.233587395,0.238566414,0.239974449,0.237714993,0.23180673,0.219242593,0.203751709,0.187022027,0.148543777,0.127074085,0.104052838,0.079367909,0.052899069,0.024517399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006635948,-0.013751457,-0.021381185,-0.029562292,-0.038334624,-0.047740909,-0.05782696,-0.068641901,-0.080238409,-0.091825142,-0.092672963,-0.106006129,-0.106006129,-0.111420036,-0.117403371,-0.122441623,-0.127247037,-0.130411142,-0.134106505,-0.136616169,-0.139495816,-0.142466332,-0.144285585,-0.145396567,-0.145635406,-0.145016268,-0.145559641,-0.145349407,-0.145450389,-0.145881846,-0.14666277,-0.146461785,-0.145977136,-0.146046731,-0.145122045,-0.144615484,-0.14300793,-0.142319512,-0.140618008,-0.13872978,-0.136515484,-0.134534342,-0.133003383,-0.130740912,-0.128972782,-0.127014101,-0.125479598,-0.12359457,-0.122114898,-0.121108644,-0.119732684,-0.118218278,-0.1160629,-0.114139472,-0.111973596,-0.109458069,-0.106884655,-0.10475263,-0.102796878,-0.100511098,-0.09876146,-0.09671973,-0.095551937,-0.094345355,-0.093334413,-0.092248161,-0.091240196,-0.090044088,-0.089362971,-0.089438736,-0.089691122,-0.090962969,-0.090962969,-0.090962969,-0.090962969,-0.090962969
