,stat_id,stat_name,Geomorphology,H1250,H1500,Basin Type,Slope,T0
182,331,TSZ,Hill,7.629053125,11.26644326,Non-Basin,0.25371088,0.05
183,337,UHCS,Basin,-2.345955115,-3.807296972,Type 3 Basin,0.018586501,2.0
184,338,UHSS,Basin,-1.571727328,-2.74521213,Type 3 Basin,0.003399458,0.9
185,339,URZ,Hill,-38.39096512,-50.46211686,Non-Basin,0.104864426,0.05
186,342,VUWS,Basin Edge,-3.353779449,-5.490749969,Type 3 Basin,0.022175474,0.87
187,344,WAKC,Basin,-2.853884751,-3.463809067,Type 1 Basin,0.019188628,0.8
188,346,WANS,Hill,98.26544151,119.1418911,Non-Basin,0.183621178,0.05
189,348,WBCS,Basin,0.038419896,0.032104664,Unmodeled Basin,0.001880946,2.8
190,349,WBFS,Hill,-13.95378326,-15.21327422,Non-Basin,0.046954236,0.05
191,353,WCSS,Basin Edge,-17.80880884,-25.8811355,Type 4 Basin,0.007574024,0.31
192,355,WDAS,Valley,-2.698920835,-5.200423826,Type 3 Basin,0.006431724,1.25
193,356,WDFS,Valley,-0.848541261,-2.342174532,Type 1 Basin,0.035985062,0.7
194,357,WDPS,Basin,0.780167771,0.454613877,Unmodeled Basin,0.020369854,1.8
195,358,WEL,Hill,31.04625761,29.21524107,Non-Basin,0.17267662,0.05
196,359,WEMS,Basin,-4.043999015,-9.233131706,Type 3 Basin,0.045375447,0.98
197,361,WFSS,Basin,0.121739685,-0.019660652,Unmodeled Basin,0.00120606,1.0
198,362,WHAS,Valley,-84.04356028,-106.3891413,Unmodeled Basin,0.125432873,0.15
199,363,WHFS,Basin,0.287544164,0.323951634,Unmodeled Basin,0.020909841,2.4
200,366,WIGC,Basin,0.614380308,0.569809385,Type 1 Basin,0.027369742,1.2
201,367,WKHS,Basin,0.492546348,-0.682481023,Unmodeled Basin,0.008061061,0.71
202,369,WNAS,Valley,-1.377699745,-2.069435013,Type 3 Basin,0.004893013,1.12
203,370,WNHS,Hill,7.582397,5.841517941,Non-Basin,0.01707023,0.32
204,371,WNKS,Valley,1.143537529,-3.345918647,Unmodeled Basin,0.027993813,0.31
205,373,WPWS,Valley,-9.379274551,-12.4270193,Unmodeled Basin,0.022653856,0.4
206,374,WRCS,Basin,0.124270239,0.488138953,Unmodeled Basin,0.022954626,0.66
207,376,WSTS,Basin,4.642867301,6.018623684,Type 3 Basin,0.020205066,
208,378,WTMC,Basin,-1.543087695,-1.827603076,Type 1 Basin,0.030813408,0.58
209,380,WVAS,Valley,1.207954539,0.556617869,Unmodeled Basin,0.0301158,0.6
210,381,WVFS,Basin,2.940967876,3.13724168,Type 1 Basin,0.01417388,1.8
211,383,WVZ,Hill,-1.49353167,-2.634492363,Non-Basin,0.024143541,0.05
